Code,Country,Year,HIC,BaselineIncidence,InterventionIncidence,Change,PercentChange,InterventionApplied
AFG,Afghanistan,2024,0,229.06,164.06475565005823,-64.99524434994177,-28.374768335769403,1
AGO,Angola,2024,0,14.99,10.28372162916963,-4.70627837083037,-31.396119885249995,1
ALB,Albania,2024,0,17.55,15.514998828010945,-2.0350011719890553,-11.595448273375839,1
ARE,United Arab Emirates,2024,1,53.14,54.50501937580409,1.3650193758040885,2.5687229503227695,0
ARG,Argentina,2024,0,0.31,0.17600887152773842,-0.13399112847226158,-43.22294465452859,1
ARM,Armenia,2024,0,187.64,189.21223860439335,1.5722386043933625,0.837901622464573,1
AUS,Australia,2024,1,2.13,2.027789379855839,-0.10221062014416082,-4.798620663819822,0
AUT,Austria,2024,1,61.07,58.54679620626656,-2.523203793733437,-4.131658414490429,0
AZE,Azerbaijan,2024,0,1614.65,1322.8391722660963,-291.8108277339038,-18.072698586931267,1
BDI,Burundi,2024,0,186.22,172.74416148251885,-13.47583851748115,-7.236515152762279,1
BEL,Belgium,2024,1,44.89,45.272474711384724,0.3824747113847238,0.8520265346043032,0
BEN,Benin,2024,0,53.86,34.926729290607426,-18.933270709392573,-35.15274918187416,1
BFA,Burkina Faso,2024,0,309.57,292.03994131604594,-17.530058683954053,-5.6627123700450275,1
BGD,Bangladesh,2024,0,1.42,1.4401697276432992,0.020169727643299273,1.4204033550618924,1
BGR,Bulgaria,2024,1,4.0,3.9586714657287807,-0.0413285342712193,-1.0332133567546522,0
BHR,Bahrain,2024,1,1.24,1.3156168149099663,0.0756168149099663,6.098130234182917,0
BHS,Bahamas,2024,1,0.0,0.0,0.0,0.0,0
BIH,Bosnia and Herzegovina,2024,0,533.46,429.71878384435547,-103.74121615564457,-19.44685940007219,1
BLR,Belarus,2024,0,58.52,60.02066407919949,1.5006640791994883,2.5643610375887285,1
BLZ,Belize,2024,0,0.0,0.0,0.0,0.0,1
BOL,Bolivia (Plurinational State of),2024,0,0.24,0.0,-0.24,-99.99999995833333,1
BRA,Brazil,2024,0,0.02,0.003207646365339171,-0.01679235363466083,-83.96176775349531,1
BRB,Barbados,2024,1,0.0,0.0,0.0,0.0,0
BRN,Brunei Darussalam,2024,1,0.0,0.03375750665623489,0.03375750665623489,33757506656.23489,0
BTN,Bhutan,2024,0,0.0,0.01673866192657142,0.01673866192657142,16738661926.571419,1
BWA,Botswana,2024,0,1.19,1.226657669619191,0.03665766961919115,3.080476438328628,1
CAF,Central African Republic,2024,0,22.14,13.781252155457226,-8.358747844542775,-37.754055304900724,1
CAN,Canada,2024,1,3.7,3.584414218057621,-0.11558578194237912,-3.1239400524123018,0
CHE,Switzerland,2024,1,11.21,11.311765444018464,0.10176544401846321,0.9078094916820285,0
CHL,Chile,2024,1,0.0,0.0,0.0,0.0,0
CHN,China,2024,0,0.9,0.9,0.0,0.0,1
CIV,Côte d'Ivoire,2024,0,207.58,175.67670131410787,-31.90329868589214,-15.36915824543635,1
CMR,Cameroon,2024,0,29.84,24.26982952538382,-5.57017047461618,-18.666791134710166,1
COD,Democratic Republic of the Congo,2024,0,46.54,33.1092692497773,-13.4307307502227,-28.85846744777362,1
COG,Congo,2024,0,28.74,23.57160787118413,-5.168392128815867,-17.983271151001684,1
COK,Cook Islands,2024,0,0.0,0.03375750665623489,0.03375750665623489,33757506656.23489,1
COL,Colombia,2024,0,0.0,0.0,0.0,0.0,1
COM,Comoros,2024,0,18.46,14.813431061069384,-3.646568938930617,-19.753894576981924,1
CRI,Costa Rica,2024,1,0.0,0.0,0.0,0.0,0
CUB,Cuba,2024,0,0.0,0.03375750665623489,0.03375750665623489,33757506656.23489,1
CYP,Cyprus,2024,1,19.88,20.584856738982186,0.7048567389821869,3.545557037115903,0
CZE,Czechia,2024,1,3.45,3.233816164153167,-0.2161838358468331,-6.266198140306286,0
DEU,Germany,2024,1,7.72,7.792677696301475,0.07267769630147569,0.941420936535418,0
DJI,Djibouti,2024,0,51.34,43.33434915514625,-8.005650844853754,-15.593398607008494,1
DMA,Dominica,2024,0,0.0,0.0,0.0,0.0,1
DNK,Denmark,2024,1,4.18,4.137183638495017,-0.04281636150498258,-1.0243148685157482,0
DOM,Dominican Republic,2024,0,0.0,0.0,0.0,0.0,1
DZA,Algeria,2024,0,1.62,1.5983438480418817,-0.02165615195811843,-1.3367995035050388,1
ECU,Ecuador,2024,0,0.0,0.0,0.0,0.0,1
EGY,Egypt,2024,0,0.78,0.8097948182292971,0.029794818229297082,3.819848490445799,1
ERI,Eritrea,2024,0,2.83,2.766946358411029,-0.06305364158897087,-2.228043872323068,1
ESP,Spain,2024,1,5.03,5.130934131417226,0.10093413141722607,2.0066427716743425,0
EST,Estonia,2024,1,2.94,2.566483286891447,-0.37351671310855306,-12.704650105300967,0
ETH,Ethiopia,2024,0,228.69,188.77312077781713,-39.91687922218287,-17.45458009627243,1
FIN,Finland,2024,1,0.36,0.34875863867822854,-0.011241361321771448,-3.122600366291347,0
FJI,Fiji,2024,0,0.0,0.0,0.0,0.0,1
FRA,France,2024,1,7.27,7.269999999999999,-8.881784197001252e-16,-1.2217034658705753e-14,0
FSM,Micronesia (Federated States of),2024,0,0.0,0.0,0.0,0.0,1
GAB,Gabon,2024,0,11.82,8.35213142179883,-3.46786857820117,-29.338989663044256,1
GBR,United Kingdom of Great Britain and Northern Ireland,2024,1,42.29,40.186944212627104,-2.1030557873728952,-4.972938726337012,0
GEO,Georgia,2024,0,91.92,88.14271473314469,-3.7772852668553156,-4.109318175425594,1
GHA,Ghana,2024,0,121.68,116.6929427837085,-4.987057216291504,-4.098501985772029,1
GIN,Guinea,2024,0,43.04,31.93698890004266,-11.103011099957339,-25.796958875305627,1
GMB,Gambia,2024,0,6.88,6.132966573782894,-0.7470334262171061,-10.858043985555932,1
GNB,Guinea-Bissau,2024,0,25.44,19.61205910936821,-5.82794089063179,-22.908572683211016,1
GNQ,Equatorial Guinea,2024,0,272.65,192.10759373497606,-80.54240626502391,-29.5405854630458,1
GRC,Greece,2024,1,3.78,3.623908382016266,-0.15609161798373394,-4.129407883058321,0
GRD,Grenada,2024,0,0.0,0.0,0.0,0.0,1
GTM,Guatemala,2024,0,0.0,0.0,0.0,0.0,1
GUY,Guyana,2024,1,0.0,0.03375750665623489,0.03375750665623489,33757506656.23489,0
HND,Honduras,2024,0,0.0,0.0,0.0,0.0,1
HRV,Croatia,2024,1,8.52,8.133003059185725,-0.3869969408142744,-4.542217615137702,0
HTI,Haiti,2024,0,0.0,0.0,0.0,0.0,1
HUN,Hungary,2024,1,1.86,1.9565464690368315,0.0965464690368314,5.1906703780452,0
