Intervention,CountriesAffected,MeanBaselineIncidence,MeanInterventionIncidence,MeanReduction,MeanPercentReduction,TotalCasesPrevented
MCV1_95,125,89.58791999999998,79.81736592434024,-9.770554075659746,2156557844.6431875,-1221.3192594574682
MCV2_95,125,89.58791999999998,107.18943407918417,17.60151407918417,53107601948.857025,2200.189259898021
HealthExp_1pct,125,89.58791999999998,67.72805615091548,-21.859863849084515,-24.91212114589175,-2732.4829811355644
PolStability_1sd,125,89.58791999999998,88.96493255328379,-0.6229874467162331,-1.1675014747087546,-77.87343083952914
MCV1_increase,125,89.58791999999998,82.3939930463412,-7.193926953658829,-10.169957843747293,-899.2408692073536
