Year,Metric,Correlation,P-value,N,Significance
2020,GDP per Capita,-0.5437921402328295,0.006020062800675148,24,**
2020,Vaccine Hesitancy (%),0.09777017035466454,0.649471698508767,24,ns
2020,Urban Population (%),-0.1026086956521739,0.6332868165639749,24,ns
2020,Birth Rate,0.6017391304347826,0.0018664011338972051,24,**
2020,Net Migration,-0.20173913043478262,0.3444930314073976,24,ns
2020,Population Density,-0.49652173913043474,0.013587180235989135,24,*
2020,Political Stability Index,-0.4495652173913043,0.027521911769761136,24,*
2020,Household Size,0.35406701914074595,0.08960910207706765,24,.
2020,Vaccine Coverage 1st Dose (%),-0.5954763503730728,0.00214074442667944,24,**
2020,Vaccine Coverage 2nd Dose (%),-0.3877441458009869,0.06118573671155273,24,.
2020,Year,,,24,
