Year,Metric,Correlation,P-value,N,Significance
2024,GDP per Capita,-0.13870018222293218,0.06185812599321701,182,.
2024,Vaccine Hesitancy (%),-0.13903928804019164,0.061943492573003606,181,.
2024,Urban Population (%),-0.14173905730546615,0.055627036362860476,183,.
2024,Net Migration,-0.031353893980893464,0.6735032419809468,183,ns
2024,Household Size,0.15513579096224495,0.03599619416963831,183,*
2024,Vaccine Coverage 1st Dose (%),-0.28572955248859705,8.06328975411131e-05,185,***
2024,Vaccine Coverage 2nd Dose (%),-0.19397465061667826,0.008153782998026823,185,**
2024,Year,,,185,
