Year,Metric,Correlation,P-value,N,Significance
2024,GDP per Capita,-0.2830655504701128,0.17034275022403464,25,ns
2024,Vaccine Hesitancy (%),-0.03962269048731629,0.8508419931693512,25,ns
2024,Urban Population (%),-0.26153846153846155,0.20663834320215319,25,ns
2024,Net Migration,-0.07153846153846154,0.7339954015507332,25,ns
2024,Household Size,0.4740285075776862,0.016672153563878647,25,*
2024,Vaccine Coverage 1st Dose (%),-0.4277464587428316,0.032927857370120314,25,*
2024,Vaccine Coverage 2nd Dose (%),-0.4812321766933149,0.014873424170203159,25,*
2024,Year,,,25,
