,PC1,PC2,PC3
"GDP per capita, PPP (constant 2021 international $)",0.5722996372388901,-0.12369134934465639,-0.24676643295321699
Share that disagrees vaccines are effective,0.018065207351284474,0.9389218494800884,0.2611407152832408
Urban population (% of total population),0.5402455744024955,0.13854240432209794,-0.09224928865721146
Net Migration,0.28361658085540586,-0.27114222939187094,0.9187117904147446
Average household size (number of members),-0.5475793348018132,-0.10204951891727451,0.1355380731900641
Year,-0.0,-0.0,-0.0
